primary_label,scientific_name,common_name,class_name,tier,n_train,n_train_xc,n_train_inat,fetch_cap,latitude,longitude,fetchable_via_xc,inat_taxon_id
47158son01,Insect son01,Insect sonotype01,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son02,Insect son02,Insect sonotype02,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son03,Insect son03,Insect sonotype03,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son04,Insect son04,Insect sonotype04,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son05,Insect son05,Insect sonotype05,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son06,Insect son06,Insect sonotype06,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son07,Insect son07,Insect sonotype07,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son08,Insect son08,Insect sonotype08,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son09,Insect son09,Insect sonotype09,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son10,Insect son10,Insect sonotype10,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son11,Insect son11,Insect sonotype11,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son12,Insect son12,Insect sonotype12,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son13,Insect son13,Insect sonotype13,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son14,Insect son14,Insect sonotype14,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son15,Insect son15,Insect sonotype15,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son16,Insect son16,Insect sonotype16,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son17,Insect son17,Insect sonotype17,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son18,Insect son18,Insect sonotype18,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son19,Insect son19,Insect sonotype19,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son20,Insect son20,Insect sonotype20,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son21,Insect son21,Insect sonotype21,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son22,Insect son22,Insect sonotype22,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son23,Insect son23,Insect sonotype23,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son24,Insect son24,Insect sonotype24,Insecta,skip_sonotype,0,0,0,0,,,False,47158
47158son25,Insect son25,Insect sonotype25,Insecta,skip_sonotype,0,0,0,0,,,False,47158
1491113,Adenomera guarani,Guaraní leaf-litter frog,Amphibia,tier0_missing,0,0,0,50,,,True,1491113
25073,Chiasmocleis mehelyi,Chiasmocleis mehelyi,Amphibia,tier0_missing,0,0,0,50,,,True,25073
